"Designator","Mid X","Mid Y","Layer","Rotation"
"U8","250.4mm","-57.85mm","bottom","0.0"
"R45","230.1mm","-79.9mm","bottom","180.0"
"R36","180.5mm","-184.5mm","bottom","90.0"
"R35","176.9mm","-184.5mm","bottom","90.0"
"C35","231.94mm","-84.82mm","bottom","0.0"
"C33","222.9mm","-75.775mm","bottom","0.0"
"C32","217.525mm","-80.6mm","bottom","90.0"
"C31","235.4mm","-80mm","bottom","0.0"
"C29","239.4mm","-54.05mm","bottom","0.0"
"C27","250.6mm","-50.9mm","bottom","180.0"
"C26","256.45mm","-50.45mm","bottom","0.0"
"C3","208.4mm","-75.5mm","bottom","180.0"
"C6","208.4mm","-78mm","bottom","0.0"
"C7","203.3mm","-80.5mm","bottom","180.0"
"C13","240.69mm","-109.09mm","bottom","180.0"
"C14","240.71mm","-112.42mm","bottom","180.0"
"C53","195.3375mm","-54.55mm","bottom","180.0"
"C54","217.51mm","-54.88mm","bottom","0.0"
"R29","208.28mm","-52.44mm","bottom","180.0"
"R30","202.82mm","-52.42mm","bottom","180.0"
"R42","245.57mm","-54.87mm","bottom","180.0"
"C59","205.9mm","-93.2mm","bottom","0.0"
"C60","211.7mm","-93.2mm","bottom","0.0"
"C1","241.25mm","-185mm","bottom","0.0"
"C11","225.175mm","-184.85mm","bottom","0.0"
"C55","234.1mm","-175.35mm","bottom","0.0"
"C56","172.775mm","-181.1mm","bottom","0.0"
"C58","218.2mm","-175.625mm","bottom","180.0"
"R6","241.3mm","-179.375mm","bottom","180.0"
"R66","225.05mm","-179.53mm","bottom","180.0"
"U3","235.1mm","-182.325mm","bottom","180.0"
"U16","218.95mm","-182.275mm","bottom","180.0"
"FID1","272mm","-50mm","bottom","0.0"
"FID2","144mm","-130mm","bottom","0.0"
