"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","194mm","-37mm","top","90.0"
"C2","192mm","-37mm","top","90.0"
"C3","192mm","-41mm","top","90.0"
"C4","194mm","-41mm","top","90.0"
"C7","177mm","-43mm","top","270.0"
"C8","179mm","-43mm","top","270.0"
"C9","183mm","-47mm","top","180.0"
"C10","183mm","-45mm","top","180.0"
"C13","178mm","-37mm","top","180.0"
"C14","178mm","-35mm","top","180.0"
"C15","242mm","-42mm","top","90.0"
"C16","230mm","-40mm","top","270.0"
"C17","227mm","-40mm","top","270.0"
"C18","188mm","-47mm","top","0.0"
"C19","188mm","-45mm","top","0.0"
"C26","213mm","-40mm","top","0.0"
"C27","213.0375mm","-43mm","top","0.0"
"C30","177mm","-46mm","top","180.0"
"J1","194.5mm","-31.3mm","top","180.0"
"L1","219mm","-39mm","top","180.0"
"L2","219mm","-36mm","top","180.0"
"L3","219mm","-33mm","top","180.0"
"L4","219mm","-30mm","top","180.0"
"R1","218mm","-46mm","top","0.0"
"R2","220mm","-43mm","top","0.0"
"R14","197mm","-34mm","top","90.0"
"R15","174mm","-41mm","top","0.0"
"R16","174mm","-39mm","top","0.0"
"U1","236mm","-39mm","top","270.0"
"U2","185.35mm","-39.0329mm","top","180.0"
"LD1","243mm","-36mm","top","180.0"
"R17","243mm","-39mm","top","180.0"
"LOGO1","233.25mm","-28.66mm","top","0.0"
"C5","183mm","-32mm","bottom","180.0"
"C6","183mm","-34mm","bottom","180.0"
"C11","188mm","-32mm","bottom","0.0"
"C12","188mm","-34mm","bottom","0.0"
"C20","194mm","-40mm","bottom","90.0"
"C21","192mm","-40mm","bottom","90.0"
"C22","194mm","-36mm","bottom","90.0"
"C23","192mm","-36mm","bottom","90.0"
"C24","183mm","-47mm","bottom","0.0"
"C25","183mm","-45mm","bottom","0.0"
"C28","188mm","-47mm","bottom","0.0"
"C29","188mm","-45mm","bottom","0.0"
"C31","191mm","-28mm","bottom","0.0"
"C32","191mm","-30mm","bottom","0.0"
"C33","177mm","-43mm","bottom","270.0"
"C34","179mm","-43mm","bottom","270.0"
"R3","227mm","-55mm","bottom","180.0"
"R4","224mm","-44mm","bottom","180.0"
"R5","222mm","-55mm","bottom","0.0"
"R6","237mm","-55mm","bottom","0.0"
"R7","191mm","-26mm","bottom","180.0"
"R8","183mm","-26mm","bottom","0.0"
"R9","237mm","-44mm","bottom","0.0"
"R10","188mm","-28mm","bottom","270.0"
"R11","241mm","-55mm","bottom","180.0"
"R12","237mm","-42mm","bottom","0.0"
"R13","186mm","-28mm","bottom","270.0"
"J2","231.94mm","-49.39mm","bottom","270.0"
"LOGO2","216.4mm","-37.31mm","bottom","180.0"
