"Designator","Mid X","Mid Y","Layer","Rotation"
"C5","183mm","-32mm","bottom","180.0"
"C6","183mm","-34mm","bottom","180.0"
"C11","188mm","-32mm","bottom","0.0"
"C12","188mm","-34mm","bottom","0.0"
"C20","194mm","-40mm","bottom","90.0"
"C21","192mm","-40mm","bottom","90.0"
"C22","194mm","-36mm","bottom","90.0"
"C23","192mm","-36mm","bottom","90.0"
"C24","183mm","-47mm","bottom","0.0"
"C25","183mm","-45mm","bottom","0.0"
"C28","188mm","-47mm","bottom","0.0"
"C29","188mm","-45mm","bottom","0.0"
"C31","191mm","-28mm","bottom","0.0"
"C32","191mm","-30mm","bottom","0.0"
"C33","177mm","-43mm","bottom","270.0"
"C34","179mm","-43mm","bottom","270.0"
"R3","227mm","-55mm","bottom","180.0"
"R4","224mm","-44mm","bottom","180.0"
"R5","222mm","-55mm","bottom","0.0"
"R6","237mm","-55mm","bottom","0.0"
"R7","191mm","-26mm","bottom","180.0"
"R8","183mm","-26mm","bottom","0.0"
"R9","237mm","-44mm","bottom","0.0"
"R10","188mm","-28mm","bottom","270.0"
"R11","241mm","-55mm","bottom","180.0"
"R12","237mm","-42mm","bottom","0.0"
"R13","186mm","-28mm","bottom","270.0"
"LOGO2","223.05mm","-36.45mm","bottom","180.0"
"J2","231.95mm","-49.4mm","bottom","90.0"
